neighbourhood_group,neighbourhood,precinct,precinct_danger_normalized
Queens,Rosedale,105,0.013634886465701861
Queens,South Ozone Park,106,0.011370557750108446
Queens,Springfield Gardens,113,0.011962554868921655
Queens,St. Albans,113,0.011962554868921655
Queens,Sunnyside,108,0.011966129343392671
Queens,Whitestone,109,0.021131594214348022
Queens,Woodhaven,102,0.011416369261528343
Queens,Woodside,108,0.011966129343392671
Staten Island,Arden Heights,123,0.003908579375974408
Staten Island,Arrochar,122,0.006257394825941872
Staten Island,"Bay Terrace, Staten Island",122,0.006257394825941872
Staten Island,Bloomfield,121,0.007327773105358667
Staten Island,Bull's Head,121,0.007327773105358667
Staten Island,Castleton Corners,121,0.007327773105358667
Staten Island,Charleston,123,0.003908579375974408
Staten Island,"Chelsea, Staten Island",121,0.007327773105358667
Staten Island,Clifton,120,0.015723984061135583
Staten Island,Concord,120,0.015723984061135583
Staten Island,Dongan Hills,122,0.006257394825941872
Staten Island,Eltingville,123,0.003908579375974408
Staten Island,Emerson Hill,120,0.015723984061135583
Staten Island,Fort Wadsworth,122,0.006257394825941872
Staten Island,Graniteville,121,0.007327773105358667
Staten Island,Grant City,122,0.006257394825941872
Staten Island,Great Kills,122,0.006257394825941872
Staten Island,Grymes Hill,120,0.015723984061135583
Staten Island,Howland Hook,121,0.007327773105358667
Staten Island,Huguenot,123,0.003908579375974408
Staten Island,Lighthouse Hill,122,0.006257394825941872
Staten Island,Mariners Harbor,121,0.007327773105358667
Staten Island,Midland Beach,122,0.006257394825941872
Staten Island,New Brighton,120,0.015723984061135583
Staten Island,New Dorp,122,0.006257394825941872
Staten Island,New Dorp Beach,122,0.006257394825941872
Staten Island,New Springville,121,0.007327773105358667
Staten Island,Oakwood,122,0.006257394825941872
Staten Island,Pleasant Plains,123,0.003908579375974408
Staten Island,Port Ivory,121,0.007327773105358667
Staten Island,Port Richmond,121,0.007327773105358667
Staten Island,Prince's Bay,123,0.003908579375974408
Staten Island,Randall Manor,120,0.015723984061135583
Staten Island,Richmondtown,122,0.006257394825941872
Staten Island,Rosebank,122,0.006257394825941872
Staten Island,Rossville,123,0.003908579375974408
Staten Island,Shore Acres,122,0.006257394825941872
Staten Island,Silver Lake,120,0.015723984061135583
Staten Island,South Beach,122,0.006257394825941872
Staten Island,Stapleton,120,0.015723984061135583
Staten Island,St. George,120,0.015723984061135583
Staten Island,Todt Hill,120,0.015723984061135583
Staten Island,Tompkinsville,120,0.015723984061135583
Staten Island,Tottenville,123,0.003908579375974408
Staten Island,West Brighton,120,0.015723984061135583
Staten Island,Westerleigh,121,0.007327773105358667
Staten Island,Willowbrook,121,0.007327773105358667
Staten Island,Woodrow,123,0.003908579375974408
