neighbourhood_id,neighbourhood,neighbourhood_group,precinct,precinct_danger,precinct_danger_normalized
51,Bedford-Stuyvesant,Brooklyn,79,18.570449000000004,0.0156740486105739
110,Kips Bay,Manhattan,17,32.911542000000004,0.0277783864653431
66,Crown Heights,Brooklyn,77,27.059869,0.0228393886492331
176,Springfield Gardens,Queens,113,18.570449000000004,0.0156740486105739
162,Laurelton,Queens,105,35.3613,0.029846060002808
95,Williamsburg,Brooklyn,90,14.724491000000004,0.0124279379405397
174,Rosedale,Queens,105,42.250638,0.0356608800271744
112,Lower East Side,Manhattan,7,35.3613,0.029846060002808
18,Hunts Point,Bronx,41,42.250638,0.0356608800271744
102,East Village,Manhattan,9,42.250638,0.0356608800271744
108,Hell's Kitchen,Manhattan,10,14.724491000000004,0.0124279379405397
59,Bushwick,Brooklyn,83,14.724491000000004,0.0124279379405397
71,East Flatbush,Brooklyn,67,32.911542000000004,0.0277783864653431
60,Canarsie,Brooklyn,69,26.917371,0.022719115812593
127,Washington Heights,Manhattan,33,32.911542000000004,0.0277783864653431
86,Park Slope,Brooklyn,78,11.706283,0.0098804745534766
130,Astoria,Queens,114,24.222359,0.0204444401117481
107,Harlem,Manhattan,28,42.250638,0.0356608800271744
144,Edgemere,Queens,101,22.080579,0.0186367097852947
87,Prospect Heights,Brooklyn,78,11.706283,0.0098804745534766
101,East Harlem,Manhattan,25,22.080579,0.0186367097852947
25,Mott Haven,Bronx,40,36.545497,0.0308455598717932
19,Kingsbridge,Bronx,50,26.917371,0.022719115812593
98,Chelsea,Manhattan,10,24.222359,0.0204444401117481
92,South Slope,Brooklyn,78,18.570449000000004,0.0156740486105739
120,SoHo,Manhattan,5,36.545497,0.0308455598717932
125,Upper East Side,Manhattan,19,42.250638,0.0356608800271744
31,Parkchester,Bronx,43,24.222359,0.0204444401117481
126,Upper West Side,Manhattan,20,11.706283,0.0098804745534766
80,Greenpoint,Brooklyn,94,25.045529,0.0211392217292936
178,Sunnyside,Queens,108,25.045529,0.0211392217292936
61,Carroll Gardens,Brooklyn,76,35.3613,0.029846060002808
91,Sheepshead Bay,Brooklyn,61,14.724491000000004,0.0124279379405397
88,Prospect-Lefferts Gardens,Brooklyn,71,18.570449000000004,0.0156740486105739
16,Fordham,Bronx,46,36.545497,0.0308455598717932
147,Flushing,Queens,109,11.706283,0.0098804745534766
166,Middle Village,Queens,104,18.570449000000004,0.0156740486105739
172,Ridgewood,Queens,104,35.3613,0.029846060002808
113,Marble Hill,Manhattan,50,11.706283,0.0098804745534766
62,Clinton Hill,Brooklyn,88,14.724491000000004,0.0124279379405397
128,West Village,Manhattan,6,24.222359,0.0204444401117481
73,Flatbush,Brooklyn,67,35.3613,0.029846060002808
114,Midtown,Manhattan,14,24.222359,0.0204444401117481
115,Morningside Heights,Manhattan,26,18.570449000000004,0.0156740486105739
149,Fresh Meadows,Queens,107,32.911542000000004,0.0277783864653431
124,Two Bridges,Manhattan,7,14.724491000000004,0.0124279379405397
129,Arverne,Queens,100,27.059869,0.0228393886492331
118,Nolita,Manhattan,1,32.911542000000004,0.0277783864653431
103,Financial District,Manhattan,1,32.911542000000004,0.0277783864653431
177,St. Albans,Queens,113,11.360721000000002,0.0095888092530863
170,Rego Park,Queens,112,7.754702,0.0065452147176686
